pdb_id,pdb_path,chain1,chain2,lig_code,lig_smiles,lig_resi
SARS-b0179a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0179a.pdb,A,A,LIG,C[C@H]1C[C@@H](C)N(C(=O)Cc2cncc3ccccc23)[C@@H](C)C1,410
SARS-b0179b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0179b.pdb,B,B,LIG,C[C@H]1C[C@@H](C)N(C(=O)Cc2cncc3ccccc23)[C@@H](C)C1,602
SARS-b0182a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0182a.pdb,A,A,LIG,O=C(Cc1cncc2ccccc12)N1CCC(C(F)F)CC1,410
SARS-b0182b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0182b.pdb,B,B,LIG,O=C(Cc1cncc2ccccc12)N1CCC(C(F)F)CC1,602
SARS-b0185a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0185a.pdb,A,A,LIG,CC[C@H](C)OC1CCN(C(=O)Cc2cncc3ccccc23)CC1,410
SARS-b0186a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0186a.pdb,A,A,LIG,C[C@@H]1[C@H]2CN(C(=O)Cc3cncc4ccccc34)C[C@@H]12,410
SARS-b0186b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0186b.pdb,B,B,LIG,C[C@@H]1[C@H]2CN(C(=O)Cc3cncc4ccccc34)C[C@@H]12,602
SARS-b0187a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0187a.pdb,A,A,LIG,CN1CC[C@H]2CCN(C(=O)Cc3cncc4ccccc34)C[C@H]21,410
SARS-b0187b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0187b.pdb,B,B,LIG,CN1CC[C@H]2CCN(C(=O)Cc3cncc4ccccc34)C[C@H]21,602
SARS-b0189a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0189a.pdb,A,A,LIG,O=C(Cc1cncc2ccccc12)N1CCC2(CC1)CC2,410
SARS-b0189b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0189b.pdb,B,B,LIG,O=C(Cc1cncc2ccccc12)N1CCC2(CC1)CC2,602
SARS-b0190a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0190a.pdb,A,A,LIG,O=C(Cc1cncc2ccccc12)N1CCC2(CCOCC2)CC1,410
SARS-b0190b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0190b.pdb,B,B,LIG,O=C(Cc1cncc2ccccc12)N1CCC2(CCOCC2)CC1,602
SARS-b0192a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0192a.pdb,B,B,LIG,O=C1CCC2(CCN(C(=O)Cc3cncc4ccccc34)CC2)N1,602
SARS-b0193a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0193a.pdb,A,A,LIG,O=C(Cc1cncc2ccccc12)N1CCC2(CCCCO2)CC1,410
SARS-b0193b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0193b.pdb,B,B,LIG,O=C(Cc1cncc2ccccc12)N1CCC2(CCCCO2)CC1,602
SARS-b0194a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0194a.pdb,A,A,LIG,O=C(Cc1cncc2ccccc12)N1CC[C@H]2CC[C@H]2C1,410
SARS-b0194b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0194b.pdb,B,B,LIG,O=C(Cc1cncc2ccccc12)N1CC[C@H]2CC[C@H]2C1,602
SARS-b0195a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0195a.pdb,A,A,LIG,O=C(Cc1cncc2ccccc12)N1CCC2(CC1)COC2,410
SARS-b0195b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0195b.pdb,B,B,LIG,O=C(Cc1cncc2ccccc12)N1CCC2(CC1)COC2,602
